# static_avoidance_node debug log started 20260822_054404
1787345070.324 [STATIC_AVOID] obs_id=1 obs_dist=6.41m obs_s=38.63 ego_s=32.22 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.14m | cache_used=false path_age=- path_points=0 planning_time_ms=19.8 | reason=track_too_narrow | cache_reason=no_cache
1787345070.913 [STATIC_AVOID] obs_id=1 obs_dist=6.40m obs_s=38.63 ego_s=32.24 side=- | left_clearance=0.39 right_clearance=0.19 candidate_valid=false rung=- pre_dist=2.14m | cache_used=false path_age=- path_points=0 planning_time_ms=16.2 | reason=map_occupied | cache_reason=no_cache
1787345071.508 [STATIC_AVOID] obs_id=1 obs_dist=6.40m obs_s=38.63 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.14m | cache_used=false path_age=- path_points=0 planning_time_ms=4.4 | reason=map_occupied | cache_reason=no_cache
1787345072.020 [STATIC_AVOID] obs_id=1 obs_dist=6.41m obs_s=38.63 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.14m | cache_used=false path_age=- path_points=0 planning_time_ms=13.4 | reason=map_occupied | cache_reason=no_cache
1787345072.601 [STATIC_AVOID] obs_id=1 obs_dist=6.40m obs_s=38.63 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.14m | cache_used=false path_age=- path_points=0 planning_time_ms=4.2 | reason=map_occupied | cache_reason=no_cache
1787345073.126 [STATIC_AVOID] obs_id=1 obs_dist=6.41m obs_s=38.63 ego_s=32.23 side=- | left_clearance=0.39 right_clearance=0.19 candidate_valid=false rung=- pre_dist=2.14m | cache_used=false path_age=- path_points=0 planning_time_ms=4.7 | reason=map_occupied | cache_reason=no_cache
1787345073.711 [STATIC_AVOID] obs_id=1 obs_dist=6.41m obs_s=38.63 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.19 candidate_valid=false rung=- pre_dist=2.14m | cache_used=false path_age=- path_points=0 planning_time_ms=13.5 | reason=track_too_narrow | cache_reason=no_cache
1787345074.301 [STATIC_AVOID] obs_id=1 obs_dist=6.41m obs_s=38.64 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.19 candidate_valid=false rung=- pre_dist=2.14m | cache_used=false path_age=- path_points=0 planning_time_ms=3.9 | reason=track_too_narrow | cache_reason=no_cache
1787345074.808 [STATIC_AVOID] obs_id=1 obs_dist=6.40m obs_s=38.64 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.14m | cache_used=false path_age=- path_points=0 planning_time_ms=10.3 | reason=map_occupied | cache_reason=no_cache
1787345075.313 [STATIC_AVOID] obs_id=1 obs_dist=6.41m obs_s=38.64 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=15.1 | reason=map_occupied | cache_reason=no_cache
1787345075.914 [STATIC_AVOID] obs_id=1 obs_dist=6.41m obs_s=38.64 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=9.8 | reason=map_occupied | cache_reason=no_cache
1787345076.421 [STATIC_AVOID] obs_id=1 obs_dist=6.41m obs_s=38.64 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=17.3 | reason=map_occupied | cache_reason=no_cache
1787345077.006 [STATIC_AVOID] obs_id=1 obs_dist=6.41m obs_s=38.64 ego_s=32.23 side=- | left_clearance=0.40 right_clearance=0.20 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=4.1 | reason=map_occupied | cache_reason=no_cache
1787345077.611 [STATIC_AVOID] obs_id=1 obs_dist=6.41m obs_s=38.64 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=13.8 | reason=map_occupied | cache_reason=no_cache
1787345078.134 [STATIC_AVOID] obs_id=1 obs_dist=6.41m obs_s=38.64 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=26.2 | reason=track_too_narrow | cache_reason=no_cache
1787345078.705 [STATIC_AVOID] obs_id=1 obs_dist=6.41m obs_s=38.64 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=5.2 | reason=map_occupied | cache_reason=no_cache
1787345079.211 [STATIC_AVOID] obs_id=1 obs_dist=6.41m obs_s=38.64 ego_s=32.23 side=- | left_clearance=0.37 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=12.2 | reason=track_too_narrow | cache_reason=no_cache
1787345079.812 [STATIC_AVOID] obs_id=1 obs_dist=6.40m obs_s=38.64 ego_s=32.24 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=14.9 | reason=map_occupied | cache_reason=no_cache
1787345080.330 [STATIC_AVOID] obs_id=1 obs_dist=6.41m obs_s=38.64 ego_s=32.23 side=- | left_clearance=0.37 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=17.1 | reason=map_occupied | cache_reason=no_cache
1787345080.910 [STATIC_AVOID] obs_id=1 obs_dist=6.41m obs_s=38.64 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=11.6 | reason=track_too_narrow | cache_reason=no_cache
1787345081.502 [STATIC_AVOID] obs_id=1 obs_dist=6.41m obs_s=38.64 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=4.1 | reason=track_too_narrow | cache_reason=no_cache
1787345082.110 [STATIC_AVOID] obs_id=1 obs_dist=6.41m obs_s=38.64 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=12.7 | reason=track_too_narrow | cache_reason=no_cache
1787345082.613 [STATIC_AVOID] obs_id=1 obs_dist=6.41m obs_s=38.64 ego_s=32.23 side=- | left_clearance=0.37 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=15.1 | reason=track_too_narrow | cache_reason=no_cache
1787345083.125 [STATIC_AVOID] obs_id=1 obs_dist=6.41m obs_s=38.64 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=16.1 | reason=map_occupied | cache_reason=no_cache
1787345083.627 [STATIC_AVOID] obs_id=1 obs_dist=6.41m obs_s=38.64 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=24.0 | reason=track_too_narrow | cache_reason=no_cache
1787345084.205 [STATIC_AVOID] obs_id=1 obs_dist=6.40m obs_s=38.64 ego_s=32.24 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=6.0 | reason=map_occupied | cache_reason=no_cache
1787345084.709 [STATIC_AVOID] obs_id=1 obs_dist=6.40m obs_s=38.64 ego_s=32.24 side=- | left_clearance=0.38 right_clearance=0.19 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=11.5 | reason=map_occupied | cache_reason=no_cache
1787345085.211 [STATIC_AVOID] obs_id=1 obs_dist=6.41m obs_s=38.64 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=10.9 | reason=map_occupied | cache_reason=no_cache
1787345085.716 [STATIC_AVOID] obs_id=1 obs_dist=6.41m obs_s=38.64 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=16.2 | reason=map_occupied | cache_reason=no_cache
1787345086.303 [STATIC_AVOID] obs_id=1 obs_dist=6.40m obs_s=38.64 ego_s=32.24 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=5.5 | reason=map_occupied | cache_reason=no_cache
1787345086.909 [STATIC_AVOID] obs_id=1 obs_dist=6.40m obs_s=38.64 ego_s=32.24 side=- | left_clearance=0.39 right_clearance=0.19 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=10.1 | reason=map_occupied | cache_reason=no_cache
1787345087.516 [STATIC_AVOID] obs_id=1 obs_dist=6.41m obs_s=38.64 ego_s=32.23 side=- | left_clearance=0.39 right_clearance=0.20 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=14.3 | reason=track_too_narrow | cache_reason=no_cache
1787345088.030 [STATIC_AVOID] obs_id=1 obs_dist=6.41m obs_s=38.64 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=24.1 | reason=map_occupied | cache_reason=no_cache
1787345088.610 [STATIC_AVOID] obs_id=1 obs_dist=6.41m obs_s=38.64 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=12.7 | reason=track_too_narrow | cache_reason=no_cache
1787345089.128 [STATIC_AVOID] obs_id=1 obs_dist=6.41m obs_s=38.64 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.19 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=8.9 | reason=track_too_narrow | cache_reason=no_cache
1787345089.716 [STATIC_AVOID] obs_id=1 obs_dist=6.41m obs_s=38.64 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=16.6 | reason=map_occupied | cache_reason=no_cache
1787345090.216 [STATIC_AVOID] obs_id=1 obs_dist=6.41m obs_s=38.64 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.19 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=18.4 | reason=map_occupied | cache_reason=no_cache
1787345090.809 [STATIC_AVOID] obs_id=1 obs_dist=6.41m obs_s=38.64 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=9.6 | reason=track_too_narrow | cache_reason=no_cache
1787345091.309 [STATIC_AVOID] obs_id=1 obs_dist=6.41m obs_s=38.64 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=10.8 | reason=track_too_narrow | cache_reason=no_cache
1787345091.911 [STATIC_AVOID] obs_id=1 obs_dist=6.41m obs_s=38.64 ego_s=32.23 side=- | left_clearance=0.37 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=10.6 | reason=track_too_narrow | cache_reason=no_cache
1787345092.526 [STATIC_AVOID] obs_id=1 obs_dist=6.41m obs_s=38.64 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=19.8 | reason=track_too_narrow | cache_reason=no_cache
1787345093.102 [STATIC_AVOID] obs_id=1 obs_dist=6.42m obs_s=38.64 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=4.0 | reason=track_too_narrow | cache_reason=no_cache
1787345093.619 [STATIC_AVOID] obs_id=1 obs_dist=6.41m obs_s=38.64 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=14.1 | reason=track_too_narrow | cache_reason=no_cache
1787345094.209 [STATIC_AVOID] obs_id=1 obs_dist=6.41m obs_s=38.64 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=11.8 | reason=track_too_narrow | cache_reason=no_cache
1787345094.715 [STATIC_AVOID] obs_id=1 obs_dist=6.41m obs_s=38.64 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=16.3 | reason=track_too_narrow | cache_reason=no_cache
1787345095.310 [STATIC_AVOID] obs_id=1 obs_dist=6.41m obs_s=38.64 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=7.9 | reason=track_too_narrow | cache_reason=no_cache
1787345095.915 [STATIC_AVOID] obs_id=1 obs_dist=6.41m obs_s=38.64 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=16.0 | reason=track_too_narrow | cache_reason=no_cache
1787345096.503 [STATIC_AVOID] obs_id=1 obs_dist=6.40m obs_s=38.64 ego_s=32.24 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=4.2 | reason=map_occupied | cache_reason=no_cache
1787345097.101 [STATIC_AVOID] obs_id=1 obs_dist=6.42m obs_s=38.64 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=4.2 | reason=track_too_narrow | cache_reason=no_cache
1787345097.710 [STATIC_AVOID] obs_id=1 obs_dist=6.41m obs_s=38.64 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=12.8 | reason=track_too_narrow | cache_reason=no_cache
1787345098.219 [STATIC_AVOID] obs_id=1 obs_dist=6.41m obs_s=38.64 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=18.0 | reason=map_occupied | cache_reason=no_cache
1787345098.813 [STATIC_AVOID] obs_id=1 obs_dist=6.42m obs_s=38.64 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=12.0 | reason=track_too_narrow | cache_reason=no_cache
1787345099.410 [STATIC_AVOID] obs_id=1 obs_dist=6.40m obs_s=38.64 ego_s=32.24 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=11.2 | reason=map_occupied | cache_reason=no_cache
1787345100.007 [STATIC_AVOID] obs_id=1 obs_dist=6.41m obs_s=38.64 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=8.1 | reason=map_occupied | cache_reason=no_cache
1787345100.605 [STATIC_AVOID] obs_id=1 obs_dist=6.41m obs_s=38.64 ego_s=32.24 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.15m | cache_used=false path_age=- path_points=0 planning_time_ms=4.1 | reason=map_occupied | cache_reason=no_cache
