# recovery_spliner perf log started 20260817_111407
# [PERF] fields: loops=timer ticks in the window, hz=achieved loop rate, loop_ms avg/max=wall time inside loop(), splines=do_spline calls, blended=loops that also splined the OT-blended path, samples=mean spline samples bounds-checked, danger=splines aborted on the bounds check, mrk_hz=achieved RViz marker rate (see marker_rate_hz; the wpnt topics stay at the full loop rate), cpu=this process's own CPU over the window (100% = one core), viz=spline-sample marker publishing
1786932900.336 [PERF] loops=35 hz=34.4 loop_ms avg=17.23 max=61.55 splines=35 blended=0 samples=102.0 danger=0 mrk_hz=4.9 cpu=44.3% viz=off
1786932901.350 [PERF] loops=34 hz=33.5 loop_ms avg=19.42 max=70.14 splines=34 blended=0 samples=102.0 danger=0 mrk_hz=4.9 cpu=37.4% viz=off
1786932902.441 [PERF] loops=38 hz=34.8 loop_ms avg=16.72 max=82.46 splines=38 blended=0 samples=102.0 danger=0 mrk_hz=4.6 cpu=46.7% viz=off
1786932903.454 [PERF] loops=31 hz=30.6 loop_ms avg=23.02 max=74.93 splines=31 blended=0 samples=102.0 danger=0 mrk_hz=4.9 cpu=36.5% viz=off
1786932904.498 [PERF] loops=39 hz=37.4 loop_ms avg=14.08 max=51.50 splines=39 blended=0 samples=102.0 danger=0 mrk_hz=4.8 cpu=48.9% viz=off
1786932905.509 [PERF] loops=30 hz=29.7 loop_ms avg=22.83 max=90.74 splines=30 blended=0 samples=102.0 danger=0 mrk_hz=4.0 cpu=35.6% viz=off
1786932906.532 [PERF] loops=38 hz=37.1 loop_ms avg=15.89 max=59.59 splines=38 blended=0 samples=102.0 danger=0 mrk_hz=4.9 cpu=47.9% viz=off
1786932907.538 [PERF] loops=37 hz=36.8 loop_ms avg=13.64 max=53.49 splines=37 blended=0 samples=102.0 danger=0 mrk_hz=5.0 cpu=48.7% viz=off
1786932908.550 [PERF] loops=32 hz=31.6 loop_ms avg=19.18 max=87.46 splines=32 blended=0 samples=102.0 danger=0 mrk_hz=3.9 cpu=37.5% viz=off
1786932909.576 [PERF] loops=33 hz=32.2 loop_ms avg=19.03 max=87.08 splines=33 blended=0 samples=102.0 danger=0 mrk_hz=4.9 cpu=41.9% viz=off
1786932910.579 [PERF] loops=38 hz=37.9 loop_ms avg=15.40 max=62.33 splines=38 blended=0 samples=102.0 danger=0 mrk_hz=5.0 cpu=49.8% viz=off
1786932911.585 [PERF] loops=33 hz=32.8 loop_ms avg=18.28 max=78.81 splines=33 blended=0 samples=102.0 danger=0 mrk_hz=5.0 cpu=43.7% viz=off
1786932912.612 [PERF] loops=35 hz=34.1 loop_ms avg=18.88 max=92.66 splines=35 blended=0 samples=102.0 danger=0 mrk_hz=4.9 cpu=41.9% viz=off
1786932913.635 [PERF] loops=36 hz=35.2 loop_ms avg=16.03 max=79.50 splines=36 blended=0 samples=102.0 danger=0 mrk_hz=3.9 cpu=44.0% viz=off
1786932914.659 [PERF] loops=34 hz=33.2 loop_ms avg=19.86 max=76.55 splines=34 blended=0 samples=102.0 danger=0 mrk_hz=4.9 cpu=42.0% viz=off
1786932915.664 [PERF] loops=35 hz=34.9 loop_ms avg=18.84 max=62.01 splines=35 blended=0 samples=102.0 danger=0 mrk_hz=5.0 cpu=43.9% viz=off
1786932916.922 [PERF] loops=33 hz=26.2 loop_ms avg=27.01 max=297.86 splines=33 blended=0 samples=102.0 danger=0 mrk_hz=4.0 cpu=41.3% viz=off
1786932917.943 [PERF] loops=33 hz=32.8 loop_ms avg=19.23 max=72.60 splines=33 blended=0 samples=102.0 danger=0 mrk_hz=5.0 cpu=41.7% viz=off
1786932918.957 [PERF] loops=36 hz=35.0 loop_ms avg=16.44 max=63.79 splines=36 blended=0 samples=102.0 danger=0 mrk_hz=4.9 cpu=41.8% viz=off
1786932919.965 [PERF] loops=37 hz=36.7 loop_ms avg=15.47 max=71.59 splines=37 blended=0 samples=102.0 danger=0 mrk_hz=4.0 cpu=45.6% viz=off
